movieid,actorid,character_name,creditorder,pay,screentime
1,1,James,1,,0
1,2,Mollie,2,,0
1,3,Rosie,3,,0
1,4,Albert,4,,0
1,5,Grandpa,5,,0
1,6,Mikey,6,,0
1,7,Rona,7,,0
1,8,Mikey,8,,0
1,9,Mikey,9,,0
2,10,Hoke Colburn,1,,0
2,11,Daisy Werthan,2,,0
2,12,Boolie Werthan,3,,0
2,13,Florine Werthan (as Patti Lupone),4,,0
2,14,Idella,5,,0
2,15,Miss McClatchey (as Joann Havrilla),6,,0
2,16,Oscar,7,,0
2,17,Dr. Weil,8,,0
2,18,Nonie,9,,0
4,19,Ron Kovic,1,,0
4,20,Young Ron,2,,0
4,21,Mr. Kovic,3,,0
4,22,Mrs. Kovic,4,,0
4,23,Tommy Kovic,5,,0
4,24,Young Tommy,6,,0
4,25,Jimmy Kovic,7,,0
4,26,Young Jimmy,8,,0
4,27,Susanne Kovic,9,,0
5,28,Ray Kinsella,1,,0
5,29,Annie Kinsella,2,,0
5,30,Karin Kinsella,3,,0
5,31,Shoeless Joe Jackson,4,,0
5,32,Mark,5,,0
5,33,Terence Mann,6,,0
5,34,Dr. Archibald 'Moonlight' Graham,7,,0
5,35,Archie Graham,8,,0
5,36,John Kinsella,9,,0
6,37,Buck Russell,1,,0
6,38,Tia Russell,2,,0
6,30,Maizy Russell,3,,0
6,39,Miles Russell,4,,0
6,29,Chanice Kobolowski,5,,0
6,40,Cindy Russell,6,,0
6,41,Bob Russell,7,,0
6,42,Marcie Dahlgren-Frost,8,,0
6,43,Bug,9,,0
7,44,Harry Burns,1,,0
7,45,Sally Albright,2,,0
7,46,Marie,3,,0
7,47,Jess,4,,0
7,48,Joe,5,,0
7,49,Alice,6,,0
7,50,Amanda,7,,0
7,51,Stewardess,8,,0
7,52,Man on Aisle,9,,0
8,53,John Keating,1,,0
8,54,Neil Perry,2,,0
8,55,Todd Anderson,3,,0
8,56,Knox Overstreet,4,,0
8,57,Charlie Dalton,5,,0
8,58,Richard Cameron,6,,0
8,59,Steven Meeks,7,,0
8,60,Gerard Pitts,8,,0
8,61,Mr. Nolan,9,,0
9,62,Gil,1,,0
9,63,Karen,2,,0
9,64,Helen,3,,0
9,65,Frank,4,,0
9,66,Nathan,5,,0
9,67,Larry,6,,0
9,68,Julie,7,,0
9,69,Tod,8,,0
9,70,Susan,9,,0
10,71,Martin Riggs,1,,0
10,72,Roger Murtaugh,2,,0
10,73,Leo Getz,3,,0
10,74,Arjen Rudd,4,,0
10,75,Pieter Vorstedt,5,,0
10,76,Rika Van Den Haas,6,,0
10,77,Trish Murtaugh,7,,0
10,78,Rianne Murtaugh,8,,0
10,79,Captain Murphy,9,,0
11,80,Oliver Rose,1,,0
11,81,Barbara Rose,2,,0
11,82,Gavin D'Amato,3,,0
11,83,Susan,4,,0
11,84,Josh at 17,5,,0
11,85,Carolyn at 17,6,,0
11,86,Harry Thurmont,7,,0
11,87,Jason Larrabee,8,,0
11,88,Man in Chair,9,,0
12,89,Clark,1,,0
12,90,Ellen,2,,0
12,91,Audrey,3,,0
12,92,Rusty,4,,0
12,93,"Clark, Sr.",5,,0
12,94,Nora,6,,0
12,95,Art,7,,0
12,96,Francis,8,,0
12,97,Cousin Eddie Johnson,9,,0
13,66,Wayne Szalinski,1,,0
13,98,Big Russ Thompson,2,,0
13,99,Diane Szalinski,3,,0
13,100,Mae Thompson,4,,0
13,101,Little Russ Thompson,5,,0
13,102,Ron Thompson,6,,0
13,103,Amy Szalinski,7,,0
13,104,Nick Szalinski,8,,0
13,105,Tommy Pervis,9,,0
14,106,Batman,1,,0:32:30
14,107,Joker,2,,0:32:15
14,108,Vicki Vale,3,,0:29:00
14,109,Alexander Knox,4,,0:08:45
14,110,Commissioner Gordon,5,,0:04:30
14,111,Harvey Dent,6,,0:02:45
14,112,Alfred,7,,0:04:15
14,113,Grissom,8,,0:03:30
14,114,Alicia,9,,0
15,115,Dr. Peter Venkman,1,,0
15,12,Dr. Raymond Stantz,2,,0
15,116,Dana Barrett,3,,0
15,117,Dr. Egon Spengler,4,,0
15,66,Louis Tully,5,,0
15,118,Winston Zeddemore,6,,0
15,119,Janine Melnitz,7,,0
15,120,Dr. Janosz Poha,8,,0
15,121,The Judge,9,,0
16,122,Louis,1,,0
16,123,Eric,2,,0
16,124,Ariel,3,,0
16,125,Ursula,4,,0
16,126,Flotsam,5,,0
16,127,Scuttle,6,,0
16,128,Flounder,7,,0
16,129,Triton,8,,0
